,Compound,No.,SMILES,Name,CI-Obs.,CI-Cal.,Test,Asphericity,Eccentricity,InertialShapeFactor,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusOfGyration,SpherocityIndex
22,Cocaine,23,COC(=O)[C@@H]1[C@H]2CC[C@@H](C[C@@H]1OC(=O)C1=CC=CC=C1)N2C,Cocaine,0.88,0.74,0,0.4039530202872045,0.9641228717762806,0.0008669048435976419,0.2654563770525349,0.836518346642635,964.9482902542067,3040.789440893104,3635.0540942673965,3.548758613664447,0.20264537664083526
23,Cortisol,24,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,Cortisol,0.5,0.54,1,0.5231873582321681,0.9801970193469499,0.0010297901578637824,0.1980247541681474,0.9335617315843409,906.5553059090604,4273.83609042534,4577.98980595771,3.6689369985481375,0.3091454919130978
24,Cortisone,25,C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,Cortisone,0.74,0.63,0,0.5179924427536592,0.9796026468831845,0.0010034200405471467,0.20094440579289247,0.9352380450389173,932.0503948963876,4337.960968662511,4638.349553542808,3.7073483576617376,0.2884538255219611
25,Creatinine,26,CN1C=C(O)N=C1N,Creatinine,0.31,0.36,0,0.35732500759167524,0.9516807847497237,0.0054657804044464355,0.3070890488736942,0.7092905272130381,129.76930552058536,299.73110231821903,422.57874709807544,1.94068600681687,0.11528775604964162
26,D4T(Stavudine),27,CC1=CN([C@@H]2O[C@H](CO)C=C2)C(=O)NC1=O,Stavudine,0.24,0.25,0,0.536625541573433,0.9816386591948073,0.0025398990465414096,0.19074994829414957,0.9323563963280207,367.0840372957398,1794.250290620361,1924.4253567485687,3.018478670311405,0.2501330713460311
27,"DDE(1,1-Dichloro-2,2-bis(p-chlorophenyl)ethene)",28,ClC(Cl)=C(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1,DDE,0.61,0.68,0,0.35243219226209027,0.9519181747877785,0.0005575145903083285,0.3063523926929644,0.7370525971908264,1322.0328400431742,3180.676115371381,4315.39910108734,3.723391180581262,0.2598547216410824
28,Dexamethasone,29,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,Dexamethasone,0.37,0.44,0,0.4925385040240222,0.9761645548583756,0.0009068806467681686,0.21703170698805638,0.9616159764047258,1060.355604490642,4698.183984723511,4885.717479745921,3.682486019082019,0.3803159693099799
29,Dichlorobenzene,30,ClC1=CC=C(Cl)C=C1,Dichlorobenzene,0.98,0.99,0,0.7351343077148761,0.9951995622191633,0.010617978271654978,0.0978663954520954,0.9021336047287178,84.96284147962437,783.188489756185,868.1513310788362,2.4301503391732657,2.9174415019851817e-10
30,Diclofenac,31,OC(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl,Diclofenac,0.79,0.68,0,0.10612024946803601,0.8295340907544417,0.0005975905277596092,0.5584560790932457,0.7901651190875949,1322.2517466097656,1870.867285606601,2367.6915627038748,3.0640509701888408,0.31847514221194034
31,Didanosine,32,OC[C@@H]1CC[C@@H](O1)N1C=NC2=C1NC=NC2=O,Didanosine,0.31,0.29,1,0.4656499606754248,0.973042510128307,0.0019869237415329507,0.23062583004339227,0.9336168999142026,469.8805899787069,1902.165337088381,2037.4152795040297,3.0549866801218166,0.35095699539415703
32,Ethanol,33,CCO,Ethanol,1.07,1.05,0,0.4315289600172288,0.9685705927679743,0.05949833055982076,0.24873883256358434,0.8841250902305441,14.859662143656749,52.81764812576077,59.74001723216345,1.175966243645985,0.47272762812774327
33,Fenoterol,34,C[C@@H](CC1=CC=C(O)C=C1)NC[C@@H](O)C1=CC(O)=CC(O)=C1,Fenoterol,0.1,0.18,0,0.6357503465150011,0.9896594901539966,0.0012009851527570092,0.1434367231504257,0.977690929525529,814.0741184694242,5548.878028636734,5675.493001995621,4.454433452379485,0.23339798125889394
34,Ganciclovir,35,NC1=NC(=O)C2=C(N1)N(COC(CO)CO)C=N2,Ganciclovir,0.17,0.08,0,0.42755602183961333,0.9674887473477107,0.0011308345706957997,0.2529140639734323,0.7834895547756382,692.841884285125,2146.319468835429,2739.435970464282,3.3058127159077637,0.13131709708137096
35,Glucose,36,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O,Glucose,0.26,0.5,1,0.24082783477804845,0.9138008240039626,0.0018157242720640422,0.40616259558171924,0.6903955980516634,380.23151899977057,646.3179273856163,936.1559216332826,2.333931964656893,0.35514124625853116
36,Hydralazine,37,NNC1=C2C=CC=CC2=CN=N1,Hydralazine,0.61,0.62,0,0.34237270931885344,0.9459744000173526,0.0023271357335089247,0.32424132141324935,0.6767154230194025,290.7932757317214,606.9068980482772,896.8421250698703,2.366779000184778,0.0053911751357325274
37,Indinavir,38,CC(C)(C)NC(=O)[C@@H]1CN(CC2=CC=CN=C2)CCN1C[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=CC=CC=C12,Indinavir,0.39,0.34,0,0.4277628511271978,0.9678298706345257,0.00016739178997203714,0.25160552757750976,0.8033497494083808,4799.218346028683,15323.394890243555,19074.375639661706,5.650629749636468,0.12302264811989215
38,Indomethacin,39,COC1=CC=C2N(C(=O)C3=CC=C(Cl)C=C3)C(C)=C(CC(O)=O)C2=C1,Indomethacin,0.72,0.58,1,0.3907928011137772,0.960525447463269,0.0004449475114345687,0.2781921364371878,0.7569360696995734,1701.180589276953,4628.761134616915,6115.128238576426,4.17030437410517,0.10576715472355484
39,L-Alpha-acetyl-N-normethadol,40,CC[C@H](OC(C)=O)C(C[C@H](C)NC)(C1=CC=CC=C1)C1=CC=CC=C1,Alpha_acetyl_N_normethadol,0.8,0.88,1,0.038508332778676255,0.6991397092377174,0.00043059686428492124,0.7149850816394703,0.8238828609316374,1913.3508143396118,2204.7689991927446,2676.0709607426675,3.163351222445383,0.666075609963866
40,L-Alphacetylmethadol,41,CC[C@@H](OC(C)=O)C(C[C@@H](C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1,Alphacetylmethadol,0.95,0.92,0,0.021198447739204776,0.6311525883878871,0.0003920314906302493,0.7756586943825682,0.8949385098187163,2282.8230160285557,2633.87265937978,2943.076681227308,3.334199571224811,0.7779108694059566
41,Lamivudine,42,NC1=NC(=O)N(C=C1)[C@@H]1CS[C@H](CO)O1,Lamivudine,0.23,0.19,0,0.51368876900179,0.9793363168867705,0.0020023909317989645,0.20223841975909296,0.8206233144392745,409.8217293173715,1662.934600865005,2026.4286568573489,2.9899826601149937,0.10933182330736224
42,Lysine,43,NCCCC[C@H](N)C(O)=O,Lysine,0.35,0.29,0,0.5569895781194381,0.9838804866084528,0.00446091779994549,0.17882725762901455,0.8663638156102724,194.21201072587772,940.898277369293,1086.0313651332704,2.756222650393922,0.21124514252475413
43,Lopinavir,44,O[C@@H]([C@@H]1CCCCN1)C1=C2C=CC=C(C2=NC(=C1)C(F)(F)F)C(F)(F)F,Lopinavir,0.73,0.6,0,0.230862079175697,0.914765796027312,0.00040935832540441177,0.40398457695624734,0.756489430323294,1847.9883842009215,3460.487750649018,4574.40330550308,3.6140936028951183,0.2948997238704525
44,Meropenem,46,C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(S[C@@H]3CN[C@@H](C3)C(=O)N(C)C)=C(N2C1=O)C(O)=O,Meropenem,0.08,0.16,0,0.29864962739788237,0.9402433918433651,0.0004211709970099857,0.3405031043836226,0.8273035628013302,1964.2937635178982,4772.547468806434,5768.798399279371,4.038055282296577,0.32338569856688887
45,Metaclopramide,47,CCN(CC)CCNC(=O)C1=CC(Cl)=C(N)C=C1OC,Metaclopramide,0.4,0.65,0,0.5592847054603328,0.9840554902762875,0.000989151900023924,0.17786172173094283,0.8526917021395124,862.0432333182486,4132.744835608478,4846.704647458036,4.0513356627502235,0.09317299963540564
46,Metformin,48,CN(C)C(=N)NC(N)=N,Metformin,0.34,0.44,0,0.3905784324932375,0.9601747529878102,0.005679212180859427,0.2794001498295903,0.9477152460452478,166.87442128669184,566.0320272728302,597.2595984235179,2.269144458051203,0.3582927985628249
47,Methadone,49,CCC(=O)C(C[C@@H](C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1,Methadone,0.83,0.97,0,0.07404919612314172,0.7876932006332533,0.0005599030223727068,0.6160677086783087,0.8707078334259122,1555.1047210570584,2197.878323028674,2524.2431946211377,3.1847221189482844,0.6892962325838834
48,Mezlocilline,50,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCN(C3=O)S(C)(=O)=O)C3=CC=CC=C3)C(=O)N2[C@H]1C(O)=O,Mezlocilline,0.14,-0.08,1,0.5722514960502816,0.9850734437248413,0.0003802771991087662,0.17213457081040356,0.9285903741828774,2441.877599706638,13172.856697786177,14185.863933144652,5.2549034652256115,0.1858932095286766
49,Morphine,51,CN1CC[C@@]23[C@H]4OC5=C2C(C[C@@H]1[C@@H]3C=C[C@@H]4O)=CC=C5O,Morphine,0.63,0.36,1,0.15889989214204817,0.8764038631750233,0.0008044466192742021,0.4815768563914748,0.7792835276325929,968.719998271219,1567.574370574339,2011.5584572107107,2.822959136938545,0.4461454315325109
50,Naloxone,52,OC1=CC=C2C[C@H]3N(CC=C)CC[C@@]45[C@@H](OC1=C24)C(=O)CC[C@@]35O,Naloxone,0.64,0.46,0,0.25158182853819555,0.9246280345992101,0.0007741941727582325,0.3808713662553305,0.8516558095956077,1100.0545335563577,2459.8011753584965,2888.2573777386497,3.1381612304829383,0.45332075095213414
51,Nicotine,53,CN1CCC[C@H]1C1=CC=CN=C1,Nicotine,0.93,0.54,1,0.43205186961639835,0.9684991464232722,0.0032874791851871727,0.2490168736800644,0.8032656753592242,244.34091597556088,788.1822142750372,981.2223258793653,2.491229132318997,0.16751617313863615
52,Oseltamivir,54,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,Oseltamivir,0.13,0.28,0,0.32001787238342505,0.9461137467496576,0.0006648784793192295,0.32383449200374664,0.8315101654554594,1250.6197618350416,3211.2176768164995,3861.910305158514,3.6499086396816263,0.25527235863539594
53,para-Hydroxy-Phenytoin(Hydroxyphenytoin),55,OC1=CC=C(C=C1)[C@]1(NC(=O)NC1=O)C1=CC=CC=C1, Hydroxyphenytoin ,0.52,0.51,0,0.17362387509007812,0.8874081136307289,0.00081307439333483,0.46098464167730285,0.8258308044556713,1015.6891069567703,1819.5559600923482,2203.303570507605,3.064432476345067,0.5025207826514595
54,"PCB-52(2,2',5,5'-tetrachloro-1,1'-biphenyl)",56,ClC1=CC=C(Cl)C(=C1)C1=CC(Cl)=CC=C1Cl,PCB_52,0.74,0.62,0,0.223599702210503,0.9091355044478272,0.000889395572871281,0.4165004616472767,0.9465737214487286,1064.2887712976315,2418.7915157617713,2555.312344885105,3.215586524795231,0.39686856673363596
55,Pentamidine,57,NC(=N)C1=CC=C(OCCCCCOC2=CC=C(C=C2)C(N)=N)C=C1,Pentamidine,0.04,0.04,0,0.724354287686202,0.9947504785616734,0.0008562251226182243,0.10233027607371135,0.9335889505825294,1090.3545410203997,9947.622451256535,10655.248699172735,5.644624684631984,0.1002874745584983
56,Phenobarbitone,58,CCC1(C(=O)NC(=O)NC1=O)C1=CC=CC=C1,Phenobarbitone,0.52,0.63,0,0.1492080773279489,0.8696887606424024,0.0012602583593868068,0.4936005060899777,0.8809563272101879,699.0283545025064,1247.5948549494672,1416.18241042703,2.690718768308303,0.34433037231999636
57,Prednisolone,59,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,Prednisolone,0.38,0.46,1,0.5052400523637713,0.9776616748994698,0.0009876105503754337,0.21018479829132136,0.9663835948504478,978.5067549988032,4498.959407000248,4655.459209959459,3.749124903111338,0.34245703569319164
58,Propofol,60,CC(C)C1=CC=CC(C(C)C)=C1O,Propofol,0.51,0.58,0,0.36751184339596193,0.9571599368128187,0.0025147702503480465,0.28955976129372807,0.8444308917224062,335.7884846957833,979.2457636202562,1159.6517527004073,2.63450987263525,0.2738984581361011
59,Pyridoxal,61,CC1=NC=C(CO)C(C=O)=C1O,Pyridoxal,0.37,0.4,0,0.26095156660043817,0.9143109287670066,0.00161610015146614,0.40501299428192905,0.6314568643731001,390.7287947471801,609.186329907202,964.7315030964024,2.4241296771527017,0.11244317486870777
60,Pyridoxal 5’-phosphate,62,CC1=C(C(C=O)=C(C=N1)COP(O)(O)=O)O,Pyridoxal_phosphate,0.07,0.06,0,0.48616666175700346,0.9762575522200908,0.0017234406330925633,0.21661299991744892,0.8848056644601572,513.3949191347838,2097.0797354204838,2370.102068345105,3.1743196853264117,0.17291244799631633
61,Pyridoxine,63,CC1=NC=C(CO)C(CO)=C1O,Pyridoxine,0.56,0.45,0,0.2556599617448396,0.9143357033635212,0.001650020501108474,0.40495706137161647,0.6457157498300207,391.33801634357434,623.9997885316424,966.3691627405792,2.420082716255038,0.16623663282712206
62,Pyrimethamine,64,CCC1=NC(N)=NC(N)=C1C1=CC=C(Cl)C=C1,Pyrimethamine,1.0,1.03,0,0.5369343501441409,0.9819165653140435,0.0018103943109706452,0.18931418003380387,0.8960771529567467,494.96242201308826,2342.7960750688,2614.5026322101594,3.310705807730365,0.3125701553094749
63,Quabain,65,C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(O)[C@H]4[C@H](O)C[C@]5(C)[C@H](CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)C2=CC(=O)OC2)[C@H](O)[C@H](O)[C@H]1O,Quabain,0.07,0.07,0,0.6648677768872362,0.9915725680787117,0.0005014892591019441,0.12955246903779394,0.9720910065257385,1938.40842826133,14544.758691838035,14962.342614217907,5.249117089611817,0.20381467777316203
64,Ribofl avin,66,CC1=CC2=C(C=C1C)N=C(C(N2CC(C(C(CO)O)O)O)=N3)C(NC3=O)=O,Ribofl_avin,0.69,0.74,0,0.2450571448623623,0.9092349077239722,0.0002698590196338847,0.4162834161676149,0.6429658827039252,2382.5991941133975,3680.0168694588488,5723.502550373165,3.956976611870626,0.10805902072557061
65,Rifabutin,67,CO[C@H]1C=CO[C@@]2(C)OC3=C(C2=O)C2=C(C(O)=C3C)C(=O)C(NC(=O)\C(C)=C/C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)=C1NC3(CCN(CC(C)C)CC3)N=C21,Rifabutin,0.37,0.42,0,0.0816069226301276,0.7999611873086332,7.910706376625512e-05,0.6000517467683616,0.8495661308101041,10739.447153801522,15205.139581098225,17897.53502367068,5.087263206849581,0.4888714736897161
66,Rifampin,68,CO[C@H]1C=CO[C@@]2(C)OC3=C(C2=O)C2=C(C(O)=C3C)C(O)=C(NC(=O)\C(C)=C/C=C\[C@H](C)[C@@H](O)[C@H](C)[C@@H](O)[C@H](C)[C@@H](OC(C)=O)[C@H]1C)\C(=C/NN1CCN(C)CC1)C2=O,Rifampin,0.12,0.76,1,0.2830714818969472,0.9355491488560904,0.00011290879386404294,0.3531965317987206,0.8283609641861197,7336.549579863331,17206.599546221463,20771.861893718364,5.247090209289344,0.28950120438028826
67,Ritodrine,69,C[C@H](NCCC1=CC=C(O)C=C1)[C@H](O)C1=CC=C(O)C=C1,Ritodrine,0.1,0.04,0,0.7841615412277424,0.9969513313370508,0.0019893789510764485,0.0780259120118566,0.9432049254988932,474.12029014810236,5731.334391563412,6076.4466306533695,4.622803166070778,0.08405663147934353
68,Ritonavir,70,CC(C)[C@H](NC(=O)N(C)CC1=CSC(=N1)C(C)C)C(=O)N[C@H](C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)OCC1=CN=CS1)CC1=CC=CC=C1,Ritonavir,0.09,0.07,0,0.34305204656262683,0.9512541980744161,0.00010964277438877757,0.30840792896065355,0.7848789240049868,7158.510247304749,18217.961643586783,23211.174470867856,5.804859942454382,0.19532667887054997
69,Ropivacaine,71,CCCN1CCCC[C@H]1C(=O)NC1=C(C)C=CC=C1C,Ropivacaine,0.75,0.94,1,0.4051511413149027,0.963355458119361,0.0011474448289563973,0.268228002474827,0.9318715437058176,812.1275378035875,2821.4747727916993,3027.7507579761555,3.4839173567767565,0.3905457239809997
70,Rosiglitazone,72,CN(CCOC1=CC=C(CC2SC(=O)NC2=O)C=C1)C1=CC=CC=N1,Rosiglitazone,0.2,0.35,0,0.7302858176780787,0.9948254565581882,0.001224165395515476,0.10159877451914648,0.9939870935895116,811.9712395325143,7943.884523027388,7991.939306113351,4.840222019422165,0.18292489018011027
71,Salbutamol,73,CC(C)(C)NCC(O)C1=CC=C(O)C(CO)=C1,Salbutamol,0.4,0.3,0,0.5575905574858117,0.983918885900518,0.0017946172267497545,0.17861586146891673,0.8931679044872178,497.69270637440684,2488.7103976953267,2786.3858353980327,3.47290482477109,0.1750747025372085
72,Saquinavir,74,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(N)=O)NC(=O)C1=CC=C2C=CC=CC2=N1,Saquinavir,0.05,0.09,0,0.4967901669557706,0.9767639661793917,0.00018599192937394517,0.21431788159998327,0.9581362920051778,5151.493912828882,23030.431427731575,24036.696678646545,6.238545907351177,0.2849412291315561
73,S-Ketoprofen,75,CC(C1=CC=CC(C(C2=CC=CC=C2)=O)=C1)C(O)=O,S-Ketoprofen,0.39,0.91,1,0.6521611145697259,0.9909640720176788,0.0021055617010348505,0.13412758094493685,0.9402498847837137,446.55537015210507,3130.4048904560154,3329.3329157664343,3.68508183072371,0.1846662953887886
74,SR49059,76,O=C(C1N(C(C2N(S(=O)(C3=CC=C(OC)C(OC)=C3)=O)C4=C(C=C(Cl)C=C4)C2(C5=CC=CC=C5Cl)O)=O)CCC1)N,SR49059,0.31,0.33,0,0.15639711639024192,0.8747557593138864,0.00015790353524532884,0.48456409436439474,0.781673040703563,4950.320076679137,7985.593220375441,10216.027423931395,4.319206426780618,0.4701676037566738
75,Sufentanil,77,CCC(=O)N(C1=CC=CC=C1)C1(COC)CCN(CCC2=CC=CS2)CC1,Sufentanil,0.66,0.65,0,0.5382606373879185,0.9820799432312832,0.0006647647643997543,0.18846481131192483,0.8866939633106908,1333.8462126694187,6275.513060108145,7077.428424884012,4.358523507213613,0.21117234035383423
76,Sulindac,78,CC1=C(CC(O)=O)C2=CC(F)=CC=C2\C1=C/C1=CC=C(C=C1)S(C)=O,Sulindac,0.47,0.6,0,0.5472749170391474,0.9829770009552891,0.0007369060336330374,0.18372864663123636,0.8733734009382278,1185.1896457305274,5633.92334634691,6450.761312738202,4.314580658790569,0.1360399790419138
77,Sulindac sulfide,79,O=C(O)CC(C1=C/2C=CC(F)=C1)=C(C)C2=C/C3=CC=C(SC)C=C3,Sulindac_sulfide,0.81,0.64,0,0.5436362571670856,0.9826077743873805,0.0007500619951185058,0.18569319242632193,0.857192628658644,1142.829038449298,5275.501028205291,6154.3938338113385,4.297271524536776,0.122240409402438
78,Theophylline,80,CN1C2=C(NC=N2)C(=O)N(C)C1=O,Theophylline,0.8,0.64,0,0.26341355228851415,0.9053728114715163,0.0014194365275401724,0.42461755998564416,0.5822277558868919,410.1823114950196,562.4344097646775,966.0041179382392,2.3194970102653754,0.060324740123861124
79,Thiopental,81,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,Thiopental,0.95,0.89,0,0.3246221244125667,0.9464903231870472,0.001547518852892666,0.3227321925579765,0.8998893010558568,581.5045802988172,1621.4364801301215,1801.8177104980134,2.874465144864951,0.4246780825340666
80,Ticarcillin,82,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](C(O)=O)C3=CSC=C3)C(=O)N2[C@H]1C(O)=O,Ticarcillin,0.04,0.14,0,0.5645416757636466,0.9839450646777489,0.000906015312630652,0.17847159352765476,0.9719658005567255,1072.7918027506441,5842.481275484606,6010.994699749859,4.1002479138262435,0.23789430929770577
